Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
2,Dans votre résidence secondaire,3,2.0,3,Un peu,71.0,3,Une fois par jour,3,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e,C'est difficile de se concentrer","Oui, on est plus proches",Travailler en équipe,0.0,2,Oui,2,Vous dormez mieux,1 fois par semaine,Non,3,3,4,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),Moins de 10min,3,Cadre ou profession intellectuelle supérieure,2,Avoir des projets annulés,Un homme,"Oui, un jardin",200.0,5,32,"Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.77138411879,49.9695114087,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,1,2.0,4,"Non, je les utilisais déjà beaucoup",26.0,3,Une fois dans la semaine ou moins,4,4,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer",C'est pareil,Travailler en équipe,0.0,4,Oui,1,"Votre entreprise s'organise mieux, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",Jamais,Non,5,4,4,Beaucoup,Très petite entreprise (moins de 10 salariés),2.0,Non,De 10 à 30min,5,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Vous avez des sautes d'humeur,Vous vous sentez seul.e,Vous dormez mal",Une femme,"Oui, une terrasse ou un balcon",100.0,3,11,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,4.0,5,Beaucoup,47.0,5,Un jour sur deux,3,5,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,3,Oui,3,Vous perdez moins de temps dans les transports,1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,5,Non pas du tout,Institution publique,4.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors",Une femme,Aucun espace extérieur,130.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,1.0,4,"Non, je les utilisais déjà beaucoup",33.0,5,Une fois dans la semaine ou moins,3,4,"C'est difficile de se concentrer,Vous vous sentez isolé.e",C'est pareil,Travailler en équipe,0.0,4,Oui,2,Vous perdez moins de temps dans les transports,Exceptionnellement,Non,3,2,3,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e",Un homme,Aucun espace extérieur,40.0,4,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,2.0,3,Un peu,31.0,4,Une fois par jour,4,4,Vous avez l'impression de ne jamais vous arrêter de travailler,C'est pareil,"Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,3,Oui,3,Vous êtes plus concentré.e sur votre travail,Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,4,3,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",Moins de 10min,3,Cadre ou profession intellectuelle supérieure,2,"Avoir des projets annulés,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, une terrasse ou un balcon",59.0,2,84,Vous regardez très régulièrement l'actualité,4.5361294779,45.5146468499,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
1,Dans votre domicile,1,4.0,4,Un peu,46.0,5,Une fois dans la semaine ou moins,3,4,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide","Oui, on est plus proches",Travailler en équipe,0.0,4,Oui,1,"Vous pouvez vous habiller comme vous voulez, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Tous les jours,Mon travail est plus étalé sur la journée,3,2,2,Beaucoup,Entreprise individuelle ou indépendant,4.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous avez des sautes d'humeur",Un homme,Aucun espace extérieur,90.0,4,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,4-9 personnes,A faire plus attention à mes proches,3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,5.0,3,"Non, je les utilisais déjà beaucoup",45.0,3,Un jour sur deux,2,3,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est pareil,Manager des équipes ou des projets,3.0,2,Non,2,Vous interagissez davantage avec les personnes qui vous entourent,1 fois par semaine,Mon travail est plus étalé sur la journée,3,2,3,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),5.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,Ne pas pouvoir aller au bureau,Un homme,"Oui, une terrasse ou un balcon",85.0,3,11,La présence d'autres personnes,2.50339683029,48.7093130373,Aucune,A changer mes priorités,3.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,2.0,3,"Non, je les utilisais déjà beaucoup",29.0,3,Une fois dans la semaine ou moins,3,2,"La communication avec vos collègues est moins fluide,Impossible de faire des pauses !",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,4,Oui,3,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,1,3,2,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Vous dormez mal,La santé de vos proches,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Une femme,"Oui, une terrasse ou un balcon",59.0,2,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.7093130373,Aucune,Pour l'instant j'ai pas trop réussi !,3.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,1.0,4,"Non, je les utilisais déjà beaucoup",33.0,5,Une fois dans la semaine ou moins,1,4,La communication avec vos collègues est moins fluide,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,3,Vous êtes plus concentré.e sur votre travail,Exceptionnellement,Non,3,2,3,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,Comme avant (si vous en faisiez déjà),Moins de 10min,2,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,Aucun espace extérieur,38.0,5,11,"La situation liée au Covid 19,Vous n'êtes pas particulièrement distrait.e,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.7093130373,Aucune,Rien,3.0,4.0,Célibataire
3,Dans votre domicile,3,4.0,4,"Non, je les utilisais déjà beaucoup",43.0,3,Une fois dans la semaine ou moins,4,5,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Non, nos relations se détériorent légèrement","Travailler en équipe,Manager des équipes ou des projets",2.0,3,Non,2,"Votre entreprise s'organise mieux, Vous perdez moins de temps dans les transports",Tous les jours,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,2,Un peu,Petite et moyenne entreprise (10 à 250 salariés),4.0,"Oui, tous les jours",Plus d'une heure,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, un jardin",120.0,5,11,La présence d'autres personnes,2.50339683029,48.7093130373,Aucune,Rien,3.0,3.0,En couple et nous sommes confinés ensemble
