enterprise,date_agreement,secteur                         
Accenture ,19/01/2010,privée                              
 AirFrance,21/07/2009,privée                              
Air Liquide,14/06/2013,privée                             
Alcatel -Lucent,18/01/2008,privée                         
Alstom Transport,09/11/2010,privée                        
ALTRAN Technologies,19/05/2014,privée                     
AREVA ,31/05/2012,privée                                  
 ATOSORIGIN,2010,privée                                   
AUCHAN ,20/11/2014,privée                                 
Banque Postale,10/01/2014,privée                          
Cap Gémini,20/07/2011,privée                              
CASINO Services,15/04/2015,privée                         
CCI France/CRCI,7/07/2014,privée                          
CISCO,null,privée                                         
Crédit AgricoleSA,16/02/2012,privée                       
Danone Alimentaire,null,privée                            
Dassault Systèmes,27/04/2007,privée                       
Dell France,19/07/2012,privée                             
Dassault Systèmes,27/04/2007,privée                       
EDF ,22/02/2016,privée                                    
Europe Assistance,01/12/2011,privée                       
GDF Suez,null,privée                                      
GFI UES,9/12/2011,privée                                  
GROUPAMA ,05/11/2009,privée                               
 HewlettPackard,12/07/2010,privée                         
INVIVO,8/08/2016,privée                                   
KELKOO ,17/07/2013,privée                                 
KUONIvoyages,25/11/2015,privée                            
L'OREAL,4/12/2008,privée                                  
LOGICA France,10/09/2010,privée                           
MACIF ,17/12/2010,privée                                  
MEDIANE SYSTEME,19/11/2015,privée                         
Michelin ,12/05/2009,privée                               
Microsoft ,2008,privée                                    
 NextiraOne,2009,privée                                   
Norauto Automobile,30/09/2010,privée                      
OCIRP ,1/02/2011,privée                                   
ODIMA ,27/04/2011,privée                                  
PagesJaunes Sa,05/05/2015,privée                          
PSAPeugeotCitroën ,10/2013,privée                         
Relaxnews ,finances,13/02/2015,privée                     
Renault ,22/01/2007,privée                                
SAGE ,19/12/2013,privée                                   
SANOFI ,8/6/2012,privée                                   
SFR,null,privée                                           
SIEMENS,17/12/2013,privée                                 
SNCFVoyages ,25/03/2015,privée                            
SNEDA ,31/01/2013,privée                                  
SOCIETE GENERALE,16/07/2014,privée                        
STERIA,13/12/2013,privée                                  
SYSTRA ,9/03/2015,privée                                  
TDF ,14/11/2012,privée                                    
Thales Groupe,26/05/2013,privée                           
Tockheim Automobile,07/07/2005,privée                     
TOTAL ,5/2/2013,privée                                    
TURBOMECA,04/12/2012,privée                               
VENTE-A-DISTANCE ,06/07/2015,privée                       
VEOLIA-EAU,30/11/2006,privée                              
VEOLIA-TRANSDEV ,24/01/2013,privée                        
 VerspierenAssurances,12/07/2006,privée                   
 WoltersKluverFrance,09/04/2015,privée                    
Banque de France,23/12/2009,parapublic                    
Bureau de Recherches Géologiques et Minières,20/07/2013,pa
CAF du Haut Rhin,27/07/2011,parapublic                    
CNAF,01/01/2009                                           
CPAM Haut Rhin Pro.Soc,null,parapublic                    
CDC (Caisse des dépots) ,18/05/2011,parapublic            
IGN,12/03/2010,parapublic                                 
MSA,6/12/2011,parapublic                                  
 SCET-filiale CDC,14/04/2011,parapublic                   
 UCANSS,3/07/2014,parapublic                              
UGAP,25/06/2010,parapublic                                
Adm.centrale Finances,07/12/2010,publique                 
DGFiP (finances publi.),null,publique                     
DGA (Armement) Administration,null,publique               
BNP Paribas,11/05/2010,privee                             
Bouygues Telecom,31/05/2013,privee                        
CANAL PLUS,12/09/2012,privee                              
AXA,19/02/2013,privee                                     
LA POSTE,22/01/2013,privee                                
ORACLE,8/03/2010,privee                                   
ORANGE - France Télécom,17/05/2013,privee                 
Thales Alenia Space,26/11/2010,privee                     
