,categorie,pays,unite,valeur
0,Individuals worked from home every day or almost every day,European Union - 27 countries (from 2020),Percentage of individuals,4
1,Individuals worked from home every day or almost every day,European Union - 27 countries (from 2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
2,Individuals worked from home every day or almost every day,European Union - 27 countries (from 2020),Percentage of employees and self-employed who used internet within the last year,8
3,Individuals worked from home every day or almost every day,European Union - 27 countries (from 2020),Percentage of individuals working from home,888
4,Individuals worked from home every day or almost every day,European Union - 27 countries (from 2020),Percentage of individuals working at an external site or on the move,888
5,Individuals worked from home every day or almost every day,European Union - 28 countries (2013-2020),Percentage of individuals,5
6,Individuals worked from home every day or almost every day,European Union - 28 countries (2013-2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
7,Individuals worked from home every day or almost every day,European Union - 28 countries (2013-2020),Percentage of employees and self-employed who used internet within the last year,9
8,Individuals worked from home every day or almost every day,European Union - 28 countries (2013-2020),Percentage of individuals working from home,888
9,Individuals worked from home every day or almost every day,European Union - 28 countries (2013-2020),Percentage of individuals working at an external site or on the move,888
10,Individuals worked from home every day or almost every day,European Union - 27 countries (2007-2013),Percentage of individuals,5
11,Individuals worked from home every day or almost every day,European Union - 27 countries (2007-2013),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
12,Individuals worked from home every day or almost every day,European Union - 27 countries (2007-2013),Percentage of employees and self-employed who used internet within the last year,9
13,Individuals worked from home every day or almost every day,European Union - 27 countries (2007-2013),Percentage of individuals working from home,888
14,Individuals worked from home every day or almost every day,European Union - 27 countries (2007-2013),Percentage of individuals working at an external site or on the move,888
15,Individuals worked from home every day or almost every day,European Union - 15 countries (1995-2004),Percentage of individuals,5
16,Individuals worked from home every day or almost every day,European Union - 15 countries (1995-2004),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
17,Individuals worked from home every day or almost every day,European Union - 15 countries (1995-2004),Percentage of employees and self-employed who used internet within the last year,9
18,Individuals worked from home every day or almost every day,European Union - 15 countries (1995-2004),Percentage of individuals working from home,888
19,Individuals worked from home every day or almost every day,European Union - 15 countries (1995-2004),Percentage of individuals working at an external site or on the move,888
20,Individuals worked from home every day or almost every day,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals,5
21,Individuals worked from home every day or almost every day,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
22,Individuals worked from home every day or almost every day,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of employees and self-employed who used internet within the last year,9
23,Individuals worked from home every day or almost every day,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working from home,888
24,Individuals worked from home every day or almost every day,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working at an external site or on the move,888
25,Individuals worked from home every day or almost every day,Belgium,Percentage of individuals,5
26,Individuals worked from home every day or almost every day,Belgium,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
27,Individuals worked from home every day or almost every day,Belgium,Percentage of employees and self-employed who used internet within the last year,9
28,Individuals worked from home every day or almost every day,Belgium,Percentage of individuals working from home,888
29,Individuals worked from home every day or almost every day,Belgium,Percentage of individuals working at an external site or on the move,888
30,Individuals worked from home every day or almost every day,Bulgaria,Percentage of individuals,2
