pays,Individuals never worked from home,Individuals used the internet for the job when working from home,Individuals worked from home at least once,Individuals worked from home at least once a week,Individuals worked from home at least once a week (but not every day),Individuals worked from home every day or almost every day,Individuals worked from home less than once a week
Albania,6,4,6,4,2,2,1
Austria,32,16,17,10,6,4,6
Belgium,23,17,18,10,5,5,8
Bosnia and Herzegovina,10,5,7,4,2,2,3
Bulgaria,15,5,6,4,2,2,2
Croatia,22,8,8,5,2,3,3
Cyprus,30,5,6,4,1,2,2
Czechia,888,888,888,888,888,888,888
Denmark,22,28,30,14,7,6,16
Estonia,26,22,22,13,7,6,9
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",27,15,16,10,5,5,6
European Union - 15 countries (1995-2004),26,17,18,11,6,5,7
European Union - 27 countries (2007-2013),25,15,17,10,5,5,6
European Union - 27 countries (from 2020),25,14,15,9,5,4,6
European Union - 28 countries (2013-2020),25,15,16,10,5,5,6
Finland,23,25,26,16,8,8,10
France,25,16,17,12,6,6,5
Germany (until 1990 former territory of the FRG),37,15,17,10,5,5,7
Greece,14,8,9,7,3,4,2
Hungary,18,11,12,8,3,4,4
Iceland,31,34,36,25,15,11,10
Ireland,23,11,11,8,3,5,3
Italy,22,9,11,7,4,3,4
Kosovo (under United Nations Security Council Resolution 1244/99),7,3,4,3,2,1,1
Latvia,23,15,16,10,4,5,6
Lithuania,25,12,12,7,4,3,5
Luxembourg,25,19,22,13,6,8,9
Malta,28,20,20,13,5,8,7
Montenegro,9,3,9,6,3,3,3
Netherlands,28,31,32,20,13,7,12
Norway,888,37,38,24,13,11,14
Poland,20,11,12,7,4,4,5
Portugal,25,11,12,8,4,4,4
Romania,14,4,4,3,2,1,2
Serbia,14,9,9,7,2,5,2
Slovakia,22,13,13,9,5,4,5
Slovenia,25,15,15,11,5,6,4
Spain,21,14,15,10,5,4,6
Sweden,888,888,888,888,888,888,888
United Kingdom,23,26,27,16,9,7,11
