"INDIC_IS","GEO","IND_TYPE","TIME","UNIT","Value","Flag and Footnotes"
"Individuals worked from home every day or almost every day","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","8",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Belgium","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Belgium","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Belgium","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Belgium","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Belgium","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Bulgaria","All Individuals","2018","Percentage of individuals","2",""
"Individuals worked from home every day or almost every day","Bulgaria","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","8",""
"Individuals worked from home every day or almost every day","Bulgaria","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","4",""
"Individuals worked from home every day or almost every day","Bulgaria","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Bulgaria","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Czechia","All Individuals","2018","Percentage of individuals",":","u"
"Individuals worked from home every day or almost every day","Czechia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",":","u"
"Individuals worked from home every day or almost every day","Czechia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year",":","u"
"Individuals worked from home every day or almost every day","Czechia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Czechia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Denmark","All Individuals","2018","Percentage of individuals","6",""
"Individuals worked from home every day or almost every day","Denmark","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Denmark","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","11",""
